text;label
бланк переключений не содержал операции проверки;ORG
регламент не предусматривал контроль активных сигналов;ORG
отсутствовал порядок взаимодействия между подрядчиком и принимающей стороной;ORG
инструкция не определяла ответственного за проверку оборудования;ORG
график обслуживания не включал контроль состояния датчиков;ORG
персонал не прошел обучение по новой процедуре;ORG
не была назначена зона ответственности между сменами;ORG
план работ не содержал этап согласования отключения;ORG
отсутствовал контроль выполнения заявки на ремонт;ORG
порядок передачи смены не требовал проверки журнала;ORG
в медицинском отделении не был установлен маршрут информирования;ORG
в транспортной службе не было правила повторной проверки путевого листа;ORG
в IT отделе не закрепили владельца процесса резервного копирования;ORG
договор с подрядчиком не описывал порядок приемки работ;ORG
руководитель не организовал контроль персонала;ORG
система контроля качества не предусматривала проверку результата;ORG
регламент технической поддержки не содержал сроков реакции;ORG
отсутствовала процедура согласования изменений в конфигурации;ORG
не был установлен порядок допуска персонала к оборудованию;ORG
инструкция по эксплуатации была устаревшей;ORG
в подразделении не определили правила хранения ключей;ORG
схема взаимодействия служб не была утверждена;ORG
программа обучения не включала действия при аварии;ORG
на производстве отсутствовал регламент проверки инструмента;ORG
план профилактики не учитывал повышенную нагрузку оборудования;ORG
не был назначен ответственный за контроль сигнализации;ORG
регламент осмотра не включал проверку резервной линии;ORG
подрядчик не получил утвержденный порядок выполнения работ;ORG
в инструкции отсутствовали критерии приемки оборудования;ORG
не была организована независимая проверка результатов ремонта;ORG
службы не согласовали порядок обмена информацией;ORG
график дежурств не обеспечивал контроль в ночную смену;ORG
порядок реагирования на предупреждения не был формализован;ORG
в регламенте не было требований к журналированию действий;ORG
руководство не обеспечило обучение новой системе;ORG
не был определен владелец аварийной процедуры;ORG
между отделами не распределили ответственность за уведомления;ORG
план внедрения не предусматривал резервный сценарий;ORG
процедура контроля подрядчика была описана неполно;ORG
служба эксплуатации не утвердила порядок проверки доступа;ORG
регламент не разделял техническую команду и последствие отключения;ORG
инструкция не требовала анализа причины команды отключения;ORG
не был определен порядок проверки ложных команд защиты;ORG
службы не согласовали действия при ложном сигнале автоматики;ORG
процедура расследования не описывала работу с пограничными событиями;ORG
терминал РЗА воспринял активный сигнал как команду;TECH
система защиты подала команду на отключение ввода;TECH
активные сигналы защит остались в состоянии сработало;TECH
датчик давления передал некорректные данные;TECH
контроллер завис при обработке управляющего сигнала;TECH
сервер потерял связь с базой данных;TECH
насос работал с повышенной вибрацией;TECH
клапан не закрылся из за механического заедания;TECH
кабель связи имел повреждение изоляции;TECH
блок питания выдавал нестабильное напряжение;TECH
тормозная система поезда показала отказ датчика;TECH
медицинский монитор неверно отображал сатурацию;TECH
станок остановился из за перегрева двигателя;TECH
маршрутизатор периодически терял пакеты;TECH
терминал оплаты не считал данные карты;TECH
электропривод не получил сигнал обратной связи;TECH
датчик температуры вышел из строя во время смены;TECH
программный модуль завершился с ошибкой памяти;TECH
канал телеметрии передавал искаженные значения;TECH
аккумуляторная батарея потеряла емкость;TECH
защитная блокировка не сработала при открытии двери;TECH
линия связи между шкафами была нестабильной;TECH
сканер штрихкодов передавал пустой идентификатор;TECH
реле зафиксировало ложное срабатывание;TECH
механизм подачи материала заклинил при запуске;TECH
контактная группа перегрелась при нагрузке;TECH
привод выключателя не завершил цикл включения;TECH
сенсор уровня показал нулевое значение при заполненной емкости;TECH
жесткий диск сервера начал возвращать ошибки чтения;TECH
модуль связи перешел в режим перезапуска;TECH
частотный преобразователь зафиксировал внутреннюю ошибку;TECH
система вентиляции не поддержала заданную температуру;TECH
программное обновление нарушило работу интерфейса;TECH
оптический канал потерял синхронизацию;TECH
термореле отключило двигатель из за перегрузки;TECH
датчик положения передал противоречивый сигнал;TECH
компрессор не набрал рабочее давление;TECH
блок управления не записал событие в архив;TECH
промышленный контроллер не принял команду оператора;TECH
механический узел износился раньше расчетного срока;TECH
терминал РЗА воспринял сигнал как команду отключения;TECH
контроллер сформировал команду отключения из ложного сигнала;TECH
реле выдало команду отключения из за ложного входа;TECH
система защиты сформировала команду отключения по активному сигналу;TECH
модуль автоматики ошибочно интерпретировал сигнал как команду отключения;TECH
исполнитель не выполнил квитирование активных сигналов;PSYCHO
принимающий специалист не проверил наличие несброшенных сигналов;PSYCHO
оперативный персонал не выполнил визуальный контроль;PSYCHO
оператор перевел ключ в рабочее положение без проверки;PSYCHO
диспетчер пропустил сообщение о перегрузке линии;PSYCHO
мастер участка неверно оценил состояние оборудования;PSYCHO
специалист подрядной организации не сверил схему подключения;PSYCHO
медсестра не проверила дозировку перед выдачей препарата;PSYCHO
водитель не убедился в закрытии двери;PSYCHO
инженер не внес результаты проверки в журнал;PSYCHO
сотрудник поддержки закрыл заявку без диагностики;PSYCHO
техник перепутал разъемы при подключении кабеля;PSYCHO
дежурный не сообщил смене о нестабильной работе датчика;PSYCHO
оператор не выполнил визуальный контроль дисплея;PSYCHO
наладчик пропустил предупреждение на панели;PSYCHO
врач не открыл результаты анализа перед назначением;PSYCHO
кладовщик неверно указал партию материала;PSYCHO
оператор склада отсканировал не тот контейнер;PSYCHO
машинист поздно заметил сигнал ограничения скорости;PSYCHO
специалист IT не проверил успешность резервного копирования;PSYCHO
ремонтник не затянул крепеж после обслуживания;PSYCHO
исполнитель применил устаревшую версию инструкции;PSYCHO
дежурный инженер не подтвердил снятие блокировки;PSYCHO
лаборант не проконтролировал температуру хранения;PSYCHO
сотрудник неверно ввел параметры в систему;PSYCHO
оператор подтвердил операцию не прочитав предупреждение;PSYCHO
электромонтер не проверил положение заземления;PSYCHO
диспетчер ошибочно направил бригаду на другой объект;PSYCHO
инженер пропустил расхождение в показаниях датчиков;PSYCHO
сотрудник склада не сверил маркировку деталей;PSYCHO
дежурный врач поздно отреагировал на сигнал монитора;PSYCHO
оператор связи не перепроверил введенный номер;PSYCHO
исполнитель не сообщил о найденном дефекте;PSYCHO
технолог неверно задал режим обработки;PSYCHO
специалист пропустил этап финальной проверки;PSYCHO
мастер не остановил работы при появлении предупреждения;PSYCHO
оператор не убедился в готовности резервной схемы;PSYCHO
водитель неправильно оценил дистанцию до препятствия;PSYCHO
администратор не проверил права доступа перед изменением;PSYCHO
сотрудник не выполнил повторную проверку результата;PSYCHO
оператор не отличил техническую команду от последствия отключения;PSYCHO
специалист не проверил источник команды отключения;PSYCHO
дежурный не уточнил причину ложного сигнала защиты;PSYCHO
инженер неверно трактовал сообщение терминала РЗА;PSYCHO
исполнитель не перепроверил состояние автоматики перед включением;PSYCHO
произошло отключение ввода номер два;CONSEQUENCE
объект был выведен из работы;CONSEQUENCE
линия электропитания отключилась от защиты;CONSEQUENCE
производственная линия остановилась на два часа;CONSEQUENCE
возник простой оборудования;CONSEQUENCE
поезд был задержан на станции;CONSEQUENCE
сервис авторизации стал недоступен для пользователей;CONSEQUENCE
пациенту потребовалось повторное обследование;CONSEQUENCE
поставка была перенесена на следующий день;CONSEQUENCE
произошло аварийное отключение насосной станции;CONSEQUENCE
установка была переведена в режим безопасной остановки;CONSEQUENCE
данные за смену были потеряны;CONSEQUENCE
клиенты не смогли оформить заказы;CONSEQUENCE
отделение временно прекратило прием пациентов;CONSEQUENCE
оборудование было остановлено до завершения проверки;CONSEQUENCE
ввод резервного питания не был выполнен;CONSEQUENCE
цех снизил выпуск продукции;CONSEQUENCE
транспортное средство сняли с маршрута;CONSEQUENCE
заявки пользователей накопились без обработки;CONSEQUENCE
произошло нарушение температурного режима;CONSEQUENCE
произошел сброс производственной программы;CONSEQUENCE
объект перешел на резервную схему питания;CONSEQUENCE
работы были приостановлены до выяснения причин;CONSEQUENCE
система перешла в состояние отказа;CONSEQUENCE
был сорван срок выполнения обслуживания;CONSEQUENCE
резервный канал связи был задействован автоматически;CONSEQUENCE
пользователи потеряли доступ к личным кабинетам;CONSEQUENCE
медицинская процедура была перенесена;CONSEQUENCE
линия розлива выпустила неполную партию;CONSEQUENCE
